class,cap.diameter,stem.height,colour,water.content
edible,15.85,11.1,red,50.54165014065802
edible,8.76,7.75,grey,57.72165820002556
poisonous,2.74,0,brown,42.440350279212
poisonous,2.65,9.01,brown,51.959650525823236
edible,5.52,5.33,brown,61.69087817892432
edible,1.7,6.21,grey,67.19793307594955
edible,3.58,4.62,brown,52.65082483179867
edible,5.72,5.07,grey,44.73566614091396
edible,11,4.77,grey,58.79365163855255
poisonous,8.59,10.72,grey,38.76138025894761
edible,45.56,6.26,brown,62.28090224787593
edible,6.75,6.48,grey,34.90816836245358
poisonous,6.09,8.37,brown,63.28775863163173
poisonous,4.6,6.99,grey,35.41011966764927
poisonous,8.17,16.46,brown,47.376092448830605
poisonous,4.96,1.3,grey,66.76535216160119
edible,3.62,3.65,brown,39.29896711371839
poisonous,9.92,11.47,grey,49.28218279033899
poisonous,2.42,4.38,brown,55.97180153243244
edible,15.22,10.22,grey,40.4768337123096
edible,6.97,5.97,grey,40.77259757556021
edible,5.97,6.07,grey,37.98301571980119
edible,3.45,6.51,red,53.822156423702836
edible,6.71,5.92,red,44.997403118759394
edible,6.96,5.43,grey,69.37387026846409
edible,9.63,8.56,grey,52.10513066500425
edible,1.4,6.46,brown,54.76657430641353
poisonous,2.86,4.31,grey,36.119382390752435
edible,9.67,7.69,grey,41.69239177368581
edible,6.68,6.05,brown,41.693660728633404
edible,5.15,4.27,grey,54.92497225292027
poisonous,9.13,10.56,red,56.452191174030304
edible,5.3,6.01,brown,31.47374545224011
poisonous,3.04,7.31,brown,67.63688962906599
poisonous,4.31,4.27,red,54.86778501421213
poisonous,11.08,7.93,brown,33.047135481610894
poisonous,13.33,4.64,brown,44.213131088763475
poisonous,7.36,6.21,brown,61.32348444312811
poisonous,3.11,4.37,grey,54.55428013578057
poisonous,4.72,2.76,brown,51.1281621735543
poisonous,2.46,4.43,red,48.181743463501334
poisonous,8.33,10.49,grey,62.952168034389615
edible,12.66,7.14,brown,36.67549808509648
poisonous,3.59,4.62,brown,30.58162720873952
poisonous,8.31,9.34,grey,50.6661072652787
edible,1.36,6.17,brown,31.257634544745088
poisonous,11.91,3.87,brown,33.78695564344525
poisonous,4.23,0,grey,47.23553281277418
edible,7.53,2.41,red,68.72492516413331
poisonous,1.49,4.89,grey,40.231810584664345
edible,5.75,6.58,grey,36.14263513125479
edible,7.61,8.41,brown,39.108577482402325
edible,6.94,11.19,brown,38.64321236498654
edible,7.31,4.8,brown,32.71916798315942
poisonous,8.51,7.51,brown,41.32215511985123
edible,6.1,7.79,brown,43.16905184648931
poisonous,7.3,8.66,grey,69.49046832509339
poisonous,5.1,5.52,brown,63.34747761487961
edible,7.61,6.57,brown,32.75292315520346
poisonous,1.61,4.14,brown,30.04400740377605
poisonous,1.23,4.34,grey,54.496468007564545
edible,7.58,5.7,grey,53.33657127805054
poisonous,5.45,4.42,grey,39.65672563761473
edible,4.31,5.99,grey,33.54963059537113
poisonous,5.85,8.01,red,40.39826805703342
poisonous,9,5.38,red,49.85838412307203
poisonous,1.68,1.99,grey,42.59192092344165
edible,16.72,10.18,brown,35.01264199614525
edible,6.97,5.54,grey,64.42696859128773
edible,9.73,7.51,grey,33.3011700771749
edible,7.71,8.35,brown,40.48507269471884
poisonous,6.48,6.88,brown,69.62416792288423
edible,12,8.16,brown,38.30795058980584
poisonous,6.77,4.68,brown,61.726778047159314
poisonous,15.34,17.74,grey,61.02128269150853
edible,9.31,7.29,red,55.80303627066314
poisonous,12.19,8.28,grey,64.58176909945905
