Range	Group	Rainfall	Population
47.65	10.7	144.0	Zimbabwe
63.13	14.0	215.0	Zimbabwe
58.76	9.0	105.0	Zimbabwe
34.88	8.0	69.0	S.Africa
55.53	10.0	134.0	Namibia
43.14	10.5	129.0	Zimbabwe
54.86	16.0	155.0	Malawi
44.14	15.0	99.0	Malawi
17.46	6.5	38.5	Namibia
21.04	5.0	36.5	Namibia
109.38	25.0	260.0	Malawi
17.67	10.4	54.0	S.Africa
16.41	7.4	39.0	S.Africa
12.02	5.4	29.5	S.Africa
49.48	15.4	109.0	Zimbabwe
48.74	12.4	89.5	Zimbabwe
23.21	6.0	42.0	S.Africa
28.64	9.0	65.0	S.Africa
44.95	9.0	115.0	S.Africa
23.77	12.4	49.5	Zambia
20.21	7.5	36.5	S.Africa
32.62	14.0	109.0	S.Africa
17.84	7.0	45.0	S.Africa
22.82	9.0	58.0	S.Africa
29.48	12.0	89.0	S.Africa
15.61	5.5	30.0	S.Africa
13.25	6.0	31.0	S.Africa
45.78	12.0	119.0	S.Africa
26.53	5.5	22.0	Malawi
37.11	14.2	109.0	S.Africa
45.12	11.0	99.0	Namibia
26.09	16.0	99.0	Namibia
68.63	13.5	179.0	Zimbabwe
33.71	11.1	99.0	Namibia
44.45	9.8	89.0	Namibia
23.74	10.0	75.0	S.Africa
86.42	13.0	199.0	Zimbabwe
39.71	13.0	93.0	S.Africa
26.52	11.7	65.0	Zambia
33.89	12.3	74.0	Malawi
64.30	19.5	165.0	Malawi
22.55	15.2	99.0	S.Africa
31.86	10.0	43.5	Zambia
53.18	11.0	94.0	S.Africa
74.48	17.8	189.0	Malawi
34.16	11.5	75.0	Malawi
31.46	12.7	59.5	Malawi
21.34	8.0	42.0	S.Africa
20.83	7.5	23.0	Malawi
20.59	9.0	52.5	S.Africa
33.70	14.0	99.0	Zimbabwe
32.90	12.4	89.0	Zimbabwe
27.76	8.8	65.0	Namibia
30.20	8.5	54.5	S.Africa
20.85	6.0	24.5	Zambia
26.25	11.0	52.0	Zambia
21.87	11.1	62.5	Zambia
23.88	14.5	89.0	Zambia
16.66	5.0	21.5	Zambia
