species	salt	activity
A	0.4	2.6
A	0.4	2.73
A	0.4	2.69
A	0.4	2.69
A	0.4	2.8
A	0.4	2.24
A	0.8	2.29
A	0.8	2.42
A	0.8	2.24
A	0.8	2.59
A	0.8	2.02
A	0.8	2.19
A	1.2	1.9
A	1.2	2.16
A	1.2	2.18
A	1.2	1.49
A	1.2	2.18
A	1.2	1.89
A	1.6	1.78
A	1.6	1.78
A	1.6	1.29
A	1.6	1.44
A	1.6	1.26
A	1.6	1.72
B	0.4	2.98
B	0.4	3.32
B	0.4	3.01
B	0.4	3.23
B	0.4	3.28
B	0.4	3.52
B	0.8	3.01
B	0.8	3.11
B	0.8	3.6
B	0.8	3.12
B	0.8	3.28
B	0.8	3.08
B	1.2	3.24
B	1.2	3.21
B	1.2	3.48
B	1.2	3.6
B	1.2	3.52
B	1.2	3.85
B	1.6	3.53
B	1.6	4.02
B	1.6	3.59
B	1.6	3.44
B	1.6	3.9
B	1.6	3.45
