Lake	Chlorophyll	pH	Alkalinity	Calcium
Alligator	0.7	6.1	5.9	3
Annie	3.2	5.1	3.5	1.9
Apopka	128.3	9.1	116	44.1
Blue_Cypress	3.5	6.9	39.4	16.4
Brick	1.8	4.6	2.5	2.9
Bryant	44.1	7.3	19.6	4.5
Cherry	3.4	5.4	5.2	2.8
Crescent	33.7	8.1	71.4	55.2
Deer_Point	1.6	5.8	26.4	9.2
Dias	22.5	6.4	4.8	4.6
Dorr	14.9	5.4	6.6	2.7
Down	4	7.2	16.5	13.8
Eaton	11.6	7.2	25.4	25.2
East_Tohopekaliga	5.8	5.8	7.1	5.2
Farm-13	71.1	7.6	128	86.5
George	78.6	8.2	83.7	66.5
Griffin	80.1	8.7	108.5	35.6
Harney	13.9	7.8	61.3	57.4
Hart	4.6	5.8	6.4	4
Hatchineha	17	6.7	31	15
Iamonia	9.6	4.4	7.5	2
Istokpoga	9.5	6.7	17.3	10.7
Jackson	21	6.1	12.6	3.7
Josephine	32.1	6.9	7	6.3
Kingsley	1.6	5.5	10.5	6.3
Kissimmee	21.5	6.9	30	13.9
Lochloosa	24.7	7.3	55.4	15.9
Louisa	7	4.5	3.9	3.3
Miccasukee	14.8	4.8	5.5	1.7
Minneola	0.7	5.8	6.3	3.3
Monroe	43.8	7.8	67	58.6
Newmans	32.7	7.4	28.8	10.2
Ocean_Pond	3.2	3.6	5.8	1.6
Ocheese_Pond	3.2	4.4	4.5	1.1
Okeechobee	16.1	7.9	119.1	38.4
Orange	45.2	7.1	25.4	8.8
Panasoffkee	16.5	6.8	106.5	90.7
Parker	152.4	8.4	53	45.6
Placid	12.8	7	8.5	2.5
Puzzle	20.1	7.5	87.6	85.5
Rodman	6.4	7	114	72.6
Rousseau	6.2	6.8	97.5	45.5
Sampson	1.6	5.9	11.8	24.2
Shipp	68.2	8.3	66.5	26
Talquin	24.1	6.7	16	41.2
Tarpon	9.6	6.2	5	23.6
Tohopekaliga	27.7	6.2	25.6	12.6
Trafford	9.6	8.9	81.5	20.5
Trout	6.4	4.3	1.2	2.1
Tsala_Apopka	4.6	7	34	13.1
Weir	16.5	6.9	15.5	5.2
Wildcat	2.6	5.2	17.3	3
Yale	8.8	7.9	71.8	20.5
